,Name,Screen,Res,Price,GPU,CPU,RAM,Memory,OS,Wifi,Seller,PC_url,Img_url
560,Asus ZenBook Pro 16X OLED UX7602BZ-MY009W,"Écran tactile 16.0"" OLED 120 Hz + stylet","Résolution QHD+ 3200 x 2000 pixels
(16/10)",3599.0,Nvidia GeForce RTX 4080 (Mobile)(12 Go),Intel Core i9-13905H(14 coeurs 5.40 GHz),32 Go LPDDR5 - 7467 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.3,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-pro-16x-oled-ux7602bz-my009w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34907/asus-zenbook-pro-16x-oled-2022-1.jpg
561,Acer Swift Go SFG14-71-5411,"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution 2K 2240 x 1400 pixels
(16/10)",699.0,Intel Iris Xe Graphics (80 EU) - Raptor Lake,Intel Core i5-1335U(10 coeurs 4.60 GHz),16 Go LPDDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/acer-swift-go-sfg14-71-5411.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/34906/acer-swift-go-sfg14-71-silver-1.jpg
562,Acer Swift 3 SF314-43-R39F,"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",759.99,AMD Radeon RX Vega 8,AMD Ryzen 7 5700U(8 coeurs 4.30 GHz),16 Go LPDDR4X - 4266 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/acer-swift-3-sf314-43-r39f.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/34902/acer-swift-3-sf314-43-argent-1.jpg
563,HP EliteBook 840 G10 (8A447EA),"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",1509.02,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-1355U(10 coeurs 5.00 GHz),16 Go DDR5 - 5200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.3,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-elitebook-840-g10-8a447ea.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/34900/hp-elitebook-840-g10-1.jpg
564,HP EliteBook 860 G10 (8A444EA),"Écran 16.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",1603.47,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-1355U(10 coeurs 5.00 GHz),16 Go DDR5 - 5200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.3,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-elitebook-860-g10-8a444ea.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/34898/hp-elitebook-860-g10-1.jpg
565,Asus ZenBook 13 OLED UM5302LA-LV040W,"Écran tactile 13.3"" OLED 60 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",1399.94,AMD Radeon 780M,AMD Ryzen 7 7840U(8 coeurs 5.10 GHz),16 Go LPDDR5 - 6400 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Materiel.net,https://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-13-oled-um5302la-lv040w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34897/asus-zenbook-13-oled-um5302-bleu-1.jpg
566,Asus ZenBook 14 OLED UX3402ZA-KM378W,"Écran 14.0"" OLED 90 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",1199.95,Intel Iris Xe Graphics (96 EU),Intel Core i7-1260P(12 coeurs x 4.70 GHz),16 Go LPDDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Materiel.net,https://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-14-oled-ux3402za-km378w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34896/asus-zenbook-14-oled-ux3402-1.jpg
567,Lenovo IdeaPad 1 15ALC7 (82R4009NFR),"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.0,AMD Radeon RX Vega 8,AMD Ryzen 7 5700U(8 coeurs 4.30 GHz),8 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-1-15alc7-82r4009nfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34895/lenovo-ideapad-1-15-2022-abys-blue-1.jpg
568,Asus ROG STRIX SCAR 16 G634JY-N4006W,"Écran 16.0"" LCD - IPS (anti-reflets) 165 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",3899.99,Nvidia GeForce RTX 4090 (Mobile)(16 Go)Version : 2090 MHz / 175 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0) + 1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-scar-16-g634jy-n4006w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34894/asus-rog-strix-scar-16-g634-1.jpg
569,MSI Katana 17 B12UCXK-659FR,"Écran 17.3"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",879.99,Nvidia GeForce RTX 2050(4 Go)Version : 1575 MHz / 70 W,Intel Core i5-12450H(8 coeurs 4.40 GHz),16 Go DDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,Darty,https://www.comparez-malin.fr/informatique/pc-portable/msi-katana-17-b12ucxk-659fr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/msi/2023/34893/msi-katana-17-b12-1.jpg
