,Name,Screen,Res,Price,GPU,CPU,RAM,Memory,OS,Wifi,Seller,PC_url,Img_url
0,Lenovo IdeaPad Gaming 3 15ARH7 (82SB00VQFR),"Écran 15.6"" LCD - IPS (anti-reflets) 120 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",699.99,Nvidia GeForce RTX 3050(4 Go)Version : 1740 MHz / 90 W,AMD Ryzen 5 6600H(6 coeurs 4.50 GHz),16 Go DDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-gaming-3-15arh7-82sb00vqfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35921/lenovo-ideapad-gaming-3i-onyx-grey-1.jpg
1,Lenovo Yoga Pro 7 14APH8 (82Y8000AFR),"Écran 14.5"" LCD - IPS (anti-reflets) 120 Hz","Résolution QHD+ 3072 x 1920 pixels
(16/10)",1699.0,Nvidia GeForce RTX 3050(6 Go),AMD Ryzen 7 7840HS(8 coeurs 5.10 GHz),16 Go LPDDR5 - 5200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.1,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-yoga-pro-7-14aph8-82y8000afr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35920/lenovo-yoga-pro-14-gen-8-tidal-teal-1.jpg
2,HP Chromebook 14a-na0022nf,"Écran 14.0"" LCD - TN (anti-reflets) 60 Hz","Résolution HD 1366 x 768 pixels
(16/9)",399.0,Intel UHD Graphics 600,Intel Celeron N4120(4 coeurs 2.60 GHz),8 Go LPDDR4 - 2400 MHz,128 Go (eMMC),Chrome OS (Google),Wi-Fi 5 • Bluetooth 5.0,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-chromebook-14a-na0022nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35917/hp-chromebook-14a-1.jpg
3,HP 17-cn0020nf,"Écran 17.3"" LCD - TN (anti-reflets) 60 Hz","Résolution HD+ 1600 x 900 pixels
(16/9)",349.0,Intel UHD Graphics 600,Intel Celeron N4120(4 coeurs 2.60 GHz),4 Go DDR4 - 2400 MHz,128 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille (mode S),Wi-Fi 5 • Bluetooth 4.2,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-17-cn0020nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35916/hp-laptop-17-2021-argent-1.jpg
4,HP 17-cp0028nf,"Écran 17.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.99,AMD Radeon RX Vega 7,AMD Ryzen 5 5500U(6 coeurs 4.00 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 4.2,Cdiscount,https://www.comparez-malin.fr/informatique/pc-portable/hp-17-cp0028nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35915/hp-17-w11-argent-1.jpg
5,Asus ZenBook 14X OLED UX3404VC-M9166W,"Écran 14.5"" OLED 120 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",1499.99,Nvidia GeForce RTX 3050 Max-Q(4 Go),Intel Core i9-13900H(14 coeurs 5.40 GHz),32 Go LPDDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-14x-oled-ux3404vc-m9166w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35910/asus-zenbook-14x-oled-ux3404-beige-1.jpg
6,HP 17-cp2029nf,"Écran 17.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.2,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),16 Go LPDDR5 - 5500 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.3,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-17-cp2029nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35908/hp-17-w11-argent-1.jpg
7,HP 17-cp3006nf,"Écran 17.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",719.2,AMD Radeon Vega 8,AMD Ryzen 7 7730U(8 coeurs 4.50 GHz),16 Go DDR4 - 3200 MHz,1 To (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.3,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-17-cp3006nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35907/hp-17-w11-argent-1.jpg
8,HP 17-cp2030nf,"Écran 17.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.0,AMD Radeon 610M,AMD Ryzen 3 7320U(4 coeurs 4.10 GHz),8 Go LPDDR5 - 5500 MHz,256 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.3,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-17-cp2030nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35906/hp-17-w11-argent-1.jpg
9,Asus VivoBook 17X M3704YA-AU017W,"Écran 17.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",649.99,AMD Radeon Vega 7,AMD Ryzen 5 7530U(6 coeurs 4.50 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-17x-m3704ya-au017w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35905/asus-vivobook-17x-m3704-indie-black-1.jpg
