,Name,Screen,Res,Price,GPU,CPU,RAM,Memory,OS,Wifi,Seller,PC_url,Img_url
10,Asus VivoBook 15 S1500EA-EJ4303W,"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",429.99,Intel UHD Graphics (48 EU) - Tiger Lake,Intel Pentium Gold 7505(2 coeurs 3.50 GHz),8 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-15-s1500ea-ej4303w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35904/asus-vivobook-15-s1500-silver-1.jpg
11,Asus ROG STRIX G17 G713PI-LL038W,"Écran 17.3"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1440 pixels
(16/9)",3199.99,Nvidia GeForce RTX 4070 (Mobile)(8 Go)Version : 2225 MHz / 140 W,AMD Ryzen 9 7945HX(16 coeurs 5.40 GHz),32 Go DDR5 - 4800 MHz,2 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g17-g713pi-ll038w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35902/asus-rog-strix-g17-2023-1.jpg
12,Asus ROG STRIX SCAR 16 G634JZ-NM091W,"Écran 16.0"" LCD - IPS (mini-LED) (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",4299.99,Nvidia GeForce RTX 4080 (Mobile)(12 Go)Version : 2330 MHz / 175 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0) + 1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-scar-16-g634jz-nm091w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35901/asus-rog-strix-scar-16-g634-1.jpg
13,Asus ROG Flow X16 GV601VI-NL058W,"Écran tactile 16.0"" LCD - IPS (mini-LED) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",2924.99,Nvidia GeForce RTX 4070 (Mobile)(8 Go)Version : 2030 MHz / 125 W,Intel Core i9-13900H(14 coeurs 5.40 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-flow-x16-gv601vi-nl058w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35900/asus-rog-flow-x16-gv601-1.jpg
14,Asus ROG STRIX G18 G814JV-N6150W,"Écran 18.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",2999.99,Nvidia GeForce RTX 4060 (Mobile)(8 Go)Version : 2420 MHz / 140 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g18-g814jv-n6150w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35899/asus-rog-strix-g18-1.jpg
15,Asus ROG STRIX G17 G713PV-LL080W,"Écran 17.3"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1440 pixels
(16/9)",2024.99,Nvidia GeForce RTX 4060 (Mobile)(8 Go)Version : 2420 MHz / 140 W,AMD Ryzen 9 7845HX(12 coeurs 5.20 GHz),16 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g17-g713pv-ll080w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35898/asus-rog-strix-g17-2023-1.jpg
16,Asus ROG STRIX G16 G614JI-N4375W,"Écran 16.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",3199.99,Nvidia GeForce RTX 4070 (Mobile)(8 Go)Version : 2225 MHz / 140 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g16-g614ji-n4375w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35897/asus-rog-strix-g16-g614-1.jpg
17,Asus ROG STRIX G16 G614JV-N4188W,"Écran 16.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",2799.99,Nvidia GeForce RTX 4060 (Mobile)(8 Go)Version : 2420 MHz / 140 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g16-g614jv-n4188w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35896/asus-rog-strix-g16-g614-1.jpg
18,Asus ROG STRIX G18 GL814JI-N6075W,"Écran 18.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",3499.99,Nvidia GeForce RTX 4070 (Mobile)(8 Go)Version : 2225 MHz / 140 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,2 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-g18-gl814ji-n6075w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35895/asus-rog-strix-g18-1.jpg
19,Asus ROG STRIX SCAR 18 G834JZ-N6049W,"Écran 18.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",4299.99,Nvidia GeForce RTX 4080 (Mobile)(12 Go)Version : 2330 MHz / 175 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),32 Go DDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-scar-18-g834jz-n6049w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35894/asus-rog-strix-scar-18-g834-1.jpg
20,Asus ROG STRIX SCAR 18 G834JY-N6090W,"Écran 18.0"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1600 pixels
(16/10)",5799.99,Nvidia GeForce RTX 4090 (Mobile)(16 Go)Version : 2090 MHz / 175 W,Intel Core i9-13980HX(24 coeurs 5.60 GHz),64 Go DDR5 - 4800 MHz,2 To (SSD M.2 PCI-e 4.0) + 2 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-scar-18-g834jy-n6090w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35893/asus-rog-strix-scar-18-g834-1.jpg
21,HP Victus Gaming 15-fb0217nf,"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",799.99,Nvidia GeForce RTX 3050 Max-Q(4 Go),AMD Ryzen 7 5800H(8 coeurs 4.45 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 4.0),FreeDOS 3.0,Wi-Fi 6 • Bluetooth 5.3,Cdiscount,https://www.comparez-malin.fr/informatique/pc-portable/hp-victus-gaming-15-fb0217nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35892/hp-victus-gaming-15-2022-1.jpg
22,Asus VivoBook Go 15 S1504FA-NJ311W,"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.95,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),16 Go LPDDR5 - 5600 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Materiel.net,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-go-15-s1504fa-nj311w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35891/asus-vivobook-go-15-e1504-argent-1.jpg
23,Acer Aspire 3 A315-24P-R7L4,"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",565.47,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),16 Go LPDDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-3-a315-24p-r7l4.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35890/acer-aspire-3-a315-24p-bleu-1.jpg
24,Lenovo ThinkPad T14s Gen 4 (21F6003WFR),"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",1853.57,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-1355U(10 coeurs 5.00 GHz),16 Go LPDDR5X - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.3,Topbiz,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-thinkpad-t14s-gen-4-21f6003wfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35889/lenovo-thinkpad-t14s-gen-4-black-1.jpg
25,Lenovo ThinkPad X13 Yoga Gen 4 (21F2005WFR),"Écran tactile 13.3"" LCD - IPS (anti-reflets) 60 Hz + stylet","Résolution Full HD 1920 x 1200 pixels
(16/10)",1899.95,Intel Iris Xe Graphics (80 EU) - Raptor Lake,Intel Core i5-1335U(10 coeurs 4.60 GHz),16 Go LPDDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.3,LDLC,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-thinkpad-x13-yoga-gen-4-21f2005wfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35888/lenovo-thinkpad-x13-yoga-gen-4-black-1.jpg
26,Acer Swift Go SFG14-72-716N,"Écran 14.0"" OLED 90 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",1139.99,Intel Arc GPU,Intel Core Ultra 7-155H(16 coeurs 4.80 GHz),16 Go LPDDR5X - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/acer-swift-go-sfg14-72-716n.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35887/acer-swift-go-sfg14-71-silver-1.jpg
27,Asus Vivobook 16X N3604VA-MB190W,"Écran 16.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",899.0,Nvidia GeForce RTX 4060 (Mobile)(8 Go),Intel Core i7-1355U(10 coeurs 5.00 GHz),16 Go DDR4 - 3200 MHz,1 To (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 5.1,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-16x-n3604va-mb190w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35886/asus-vivobook-16x-n3604-indie-black-1.jpg
28,Asus VivoBook Pro 15 OLED N6500RC-MA096W,"Écran 15.6"" OLED 120 Hz","Résolution QHD 2880 x 1620 pixels
(16/9)",999.99,Nvidia GeForce RTX 3050(4 Go),AMD Ryzen 7 6800U(8 coeurs 4.70 GHz),16 Go LPDDR5X - 4800 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.0,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-pro-15-oled-n6500rc-ma096w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35885/asus-vivobook-pro-15-m6500-bleu-1.jpg
29,Lenovo IdeaPad 1 15ALC7 (82R4007MFR),"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",499.0,AMD Radeon RX Vega 8,AMD Ryzen 7 5700U(8 coeurs 4.30 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,E.Leclerc,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-1-15alc7-82r4007mfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35884/lenovo-ideapad-1-15-2022-abys-blue-1.jpg
30,HP Spectre 17-cs0001nf,"Écran tactile 17.0"" OLED + stylet","Résolution QHD 2560 x 1920 pixels
(4/3)",5999.0,Intel Iris Xe Graphics (96 EU),Intel Core i7-1250U(10 coeurs x 4.70 GHz),16 Go LPDDR5 - 5200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,HP France,https://www.comparez-malin.fr/informatique/tablette/hp-spectre-17-cs0001nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35882/hp-spectre-foldable-17-1.jpg
31,HP Spectre 17-cs0000nf,"Écran tactile 17.0"" OLED + stylet","Résolution QHD 2560 x 1920 pixels
(4/3)",4999.99,Intel Iris Xe Graphics (96 EU),Intel Core i7-1250U(10 coeurs x 4.70 GHz),16 Go LPDDR5 - 5200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Fnac,https://www.comparez-malin.fr/informatique/tablette/hp-spectre-17-cs0000nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35881/hp-spectre-foldable-17-1.jpg
32,Lenovo ThinkPad P14s Gen 4 (21HF000RFR),"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",1999.01,Nvidia RTX A500(4 Go),Intel Core i7-1360P(12 coeurs 5.00 GHz),16 Go LPDDR5X - 7467 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.3,Lenovo,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-thinkpad-p14s-gen-4-21hf000rfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35877/lenovo-thinkpad-p14s-gen-4-black-1.jpg
33,HP 15s-fq0037nf,"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",349.0,Intel UHD Graphics 600,Intel Celeron N4120(4 coeurs 2.60 GHz),4 Go DDR4 - 2400 MHz,128 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille (mode S),Wi-Fi 5 • Bluetooth 5.0,HP France,https://www.comparez-malin.fr/informatique/pc-portable/hp-15s-fq0037nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/35874/hp-15s-argent-w11-1.jpg
34,Acer Aspire 3 A314-23P-R1CH,"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.0,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),16 Go LPDDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.2,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-3-a314-23p-r1ch.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35872/acer-aspire-3-a314-23-1.jpg
35,Asus ROG STRIX 17 G733PYV-LL046W,"Écran 17.3"" LCD - IPS (anti-reflets) 240 Hz","Résolution QHD 2560 x 1440 pixels
(16/9)",3869.99,Nvidia GeForce RTX 4090 (Mobile)(16 Go)Version : 2090 MHz / 175 W,AMD Ryzen 9 7945HX3D(16 coeurs 5.40 GHz),32 Go DDR5 - 4800 MHz,2 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-strix-17-g733pyv-ll046w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35871/asus-rog-strix-17-2023-1.jpg
36,Asus ROG FLOW Z13 (2023) GZ301VF-MU007W,"Écran tactile 13.4"" LCD - IPS","Résolution QHD 2560 x 1600 pixels
(16/10)",1439.99,Nvidia GeForce RTX 2050(4 Go),Intel Core i9-13900H(14 coeurs 5.40 GHz),16 Go LPDDR5 - 5200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Asus,https://www.comparez-malin.fr/informatique/tablette/asus-rog-flow-z13-2023-gz301vf-mu007w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35870/asus-rog-flow-z13-2023-1.jpg
37,Asus ROG FLOW Z13 (2023) GZ301VU-MU025W,"Écran tactile 13.4"" LCD - IPS","Résolution QHD 2560 x 1600 pixels
(16/10)",1799.99,Nvidia GeForce RTX 4050 (Mobile)(6 Go)Version : 2105 MHz / 65 W,Intel Core i9-13900H(14 coeurs 5.40 GHz),16 Go LPDDR5 - 5200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Asus,https://www.comparez-malin.fr/informatique/tablette/asus-rog-flow-z13-2023-gz301vu-mu025w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35869/asus-rog-flow-z13-2023-1.jpg
38,Lenovo LOQ 15IRH8 (82XV00P0FR),"Écran 15.6"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1299.99,Nvidia GeForce RTX 4060 (Mobile)(8 Go)Version : 2370 MHz / 115 W,Intel Core i7-13620H(10 coeurs 4.90 GHz),16 Go DDR5 - 5200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-loq-15irh8-82xv00p0fr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/35867/lenovo-loq-15-storm-grey-white-1.jpg
39,Acer Chromebook Plus 514 CB514-3HT-R8BE,"Écran tactile 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",569.99,AMD Radeon 610M,AMD Ryzen 5 7520C(4 coeurs 4.30 GHz),8 Go LPDDR5X - 5500 MHz,256 Go (SSD M.2 PCI-e 3.0),Chrome OS (Google),Wi-Fi 6E • Bluetooth 5.1,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/acer-chromebook-plus-514-cb514-3ht-r8be.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/35865/acer-chromebook-plus-514-3ht-1.jpg
40,Asus Chromebook Plus CX3402CBA-PQ0108,"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.99,Intel UHD Graphics (64 EU) - Alder Lake,Intel Core i3-1215U(6 coeurs x 4.40 GHz),8 Go LPDDR5 - 5200 MHz,128 Go (SSD UFS),Chrome OS (Google),Wi-Fi 6 • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-chromebook-plus-cx3402cba-pq0108.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35863/asus-chromebook-plus-cx3402-white-1.jpg
41,Asus ZenBook 14X OLED UX3404VC-M9049W,"Écran 14.5"" OLED 120 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",2199.99,Nvidia GeForce RTX 3050 Max-Q(4 Go),Intel Core i7-13700H(14 coeurs 5.00 GHz),16 Go LPDDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Asus,https://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-14x-oled-ux3404vc-m9049w.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/35862/asus-zenbook-14x-oled-ux3404-beige-1.jpg
