,Name,Note,Price ($),URL
0,GeForce RTX 4090,38875,1699.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090&id=4606
1,GeForce RTX 4080,34684,1149.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080&id=4622
2,GeForce RTX 4070 Ti,31704,782.2,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti&id=4699
3,Radeon RX 7900 XTX,31036,979.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XTX&id=4644
4,GeForce RTX 3090 Ti,29818,1539.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090+Ti&id=4524
5,Radeon PRO W7900,29784,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7900&id=4833
6,Radeon PRO W7800,29140,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7800&id=4836
7,Radeon RX 7900 XT,28906,999.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XT&id=4646
8,GeForce RTX 4090 Laptop GPU,28674,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090+Laptop+GPU&id=4737
9,Radeon RX 6950 XT,28481,862.25,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6950+XT&id=4540
10,GeForce RTX 3080 Ti,27322,849.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti&id=4409
11,Radeon RX 6900 XT,26957,834.41,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6900+XT&id=4322
12,GeForce RTX 4070,26881,549.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070&id=4795
13,GeForce RTX 3090,26866,979.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090&id=4284
14,GeForce RTX 3080 12GB,26716,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+12GB&id=4601
15,GeForce RTX 4080 Laptop GPU,26272,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080+Laptop+GPU&id=4736
16,GeForce RTX 3080,25356,679.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080&id=4282
17,RTX 4000 Ada Generation,25226,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation&id=4942
18,Radeon RX 6800 XT,25124,569.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800+XT&id=4312
19,Radeon RX 7900 GRE,24853,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+GRE&id=4906
20,RTX 4000 Ada Generation Laptop GPU,24197,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation+Laptop+GPU&id=4819
21,Radeon RX 7800 XT,23794,529.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7800+XT&id=4917
22,GeForce RTX 3070 Ti,23764,499.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Ti&id=4413
23,RTX 5000 Ada Generation Laptop GPU,23353,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+5000+Ada+Generation+Laptop+GPU&id=4807
24,RTX 6000 Ada Generation,23103,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+6000+Ada+Generation&id=4768
25,RTX A5000,23009,2229.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000&id=4390
26,RTX A6000,22897,4109.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A6000&id=4337
27,GeForce RTX 4060 Ti 16GB,22834,499.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Ti+16GB&id=4898
28,GeForce RTX 4060 Ti,22555,384.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Ti&id=4827
29,GeForce RTX 3070,22465,449.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070&id=4283
30,Radeon RX 6800,22298,389.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314
31,RTX 4500 Ada Generation,22293,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4500+Ada+Generation&id=4958
32,Radeon RX 7900M,22089,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900M&id=4946
33,NVIDIA A10,22064,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+A10&id=4632
34,GeForce RTX 2080 Ti,21840,1399.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+Ti&id=3991
35,RTX A4500,21787,1079.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4500&id=4514
36,Radeon RX 7700 XT,21387,429.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7700+XT&id=4919
37,RTX A5500,21030,2169.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500&id=4539
38,RTX 3500 Ada Generation Laptop GPU,20964,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+3500+Ada+Generation+Laptop+GPU&id=4800
39,Radeon RX 6750 XT,20878,410.25,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6750+XT&id=4543
40,GeForce RTX 3060 Ti,20599,359.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Ti&id=4318
41,RTX 4000 SFF Ada Generation,20529,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+SFF+Ada+Generation&id=4801
42,GeForce RTX 3080 Ti Laptop GPU,20218,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti+Laptop+GPU&id=4491
43,Quadro GV100,20021,8999.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GV100&id=3919
44,TITAN RTX,19972,2409.2,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+RTX&id=4029
45,Radeon PRO W6800,19967,1849.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W6800&id=4411
46,Radeon RX 6700 XT,19876,319.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700+XT&id=4369
47,TITAN V,19784,1999.99,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V&id=3859
48,GeForce RTX 2080 SUPER,19599,684.86,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123
49,GeForce RTX 4070 Laptop GPU,19580,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Laptop+GPU&id=4756
50,GeForce RTX 4060,19511,299.99,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060&id=4850
51,Quadro RTX 8000,19496,4741.49,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+8000&id=4061
52,TITAN Xp COLLECTORS EDITION,19356,0.0,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+Xp+COLLECTORS+EDITION&id=3863
53,RTX A4000,19334,749.99,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000&id=4394
54,Quadro RTX 6000,19247,6300.0,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+6000&id=4015
55,GeForce RTX 2080,18802,800.61,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080&id=3989
