,Name,Note,Price ($),URL
0,AMD Ryzen Threadripper PRO 7995WX,156365,9999.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7995WX&id=5726
1,AMD Ryzen Threadripper PRO 7985WX,141956,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7985WX&id=5732
2,AMD Ryzen Threadripper 7980X,137775,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+7980X&id=5764
3,AMD EPYC 9654,126045,6690.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9654&id=5088
4,AMD EPYC 9654P,113949,10625.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9654P&id=5575
5,AMD EPYC 9554P,109858,7104.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9554P&id=5599
6,AMD EPYC 9474F,104894,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9474F&id=5297
7,AMD Ryzen Threadripper PRO 7975WX,100760,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7975WX&id=5729
8,AMD Ryzen Threadripper PRO 5995WX,98026,5699.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5995WX&id=4764
9,Intel Xeon w9-3495X,96747,5889.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w9-3495X&id=5480
10,AMD EPYC 9454P,96088,4598.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9454P&id=5596
11,AMD EPYC 7773X,91491,4999.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7773X&id=4884
12,Intel Xeon Platinum 8470 @2.00GHz,89850,9359.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8470+%402.00GHz&id=5693
13,AMD EPYC 9534,88716,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9534&id=5557
14,AMD EPYC 7763,86194,2494.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7763&id=4207
15,AMD EPYC 7J13,85683,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7J13&id=4300
16,AMD Ryzen Threadripper PRO 7965WX,84785,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7965WX&id=5731
17,AMD Ryzen Threadripper PRO 3995WX,83562,6866.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837
18,AMD EPYC 7713,83473,3299.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7713&id=4206
19,AMD EPYC 7V13,82878,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7V13&id=4365
20,AMD EPYC 7T83,81757,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7T83&id=4828
21,AMD EPYC 9754,81364,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9754&id=5752
22,AMD Ryzen Threadripper 3990X,80942,4861.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3990X&id=3674
23,AMD EPYC 7713P,80357,3850.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7713P&id=4714
24,AMD EPYC 9354P,78858,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9354P&id=5173
25,AMD EPYC 7B13,77460,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7B13&id=4535
26,AMD EPYC 7643,76455,4550.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7643&id=4205
27,AMD Ryzen Threadripper PRO 5975WX,75908,2699.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5975WX&id=4776
28,Intel Xeon Platinum 8461V,74982,4491.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8461V&id=5664
29,AMD EPYC 9274F,73784,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9274F&id=5513
30,AMD EPYC 7662,73321,3999.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7662&id=4251
31,AMD EPYC 7573X,70868,4962.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7573X&id=4959
32,Intel Xeon w7-3465X,70723,2889.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w7-3465X&id=5478
33,AMD EPYC 9254,70006,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9254&id=5500
34,AMD EPYC 7702,69872,1013.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7702&id=3719
35,AMD EPYC 7H12,69633,3719.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7H12&id=3618
36,AMD EPYC 7742,69183,2098.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7742&id=3547
37,AMD EPYC 75F3,68505,4999.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+75F3&id=4416
38,Intel Xeon w9-3475X,67227,3739.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w9-3475X&id=5315
39,AMD EPYC 7543P,66608,2350.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7543P&id=4508
40,AMD Ryzen Threadripper PRO 5965WX,66035,1999.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5965WX&id=4768
41,AMD EPYC 9334,65279,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9334&id=5519
42,AMD EPYC 7R32,64727,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7R32&id=3894
43,AMD Ryzen Threadripper 3970X,63272,2495.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3970X&id=3623
44,AMD Ryzen 9 7950X,63197,540.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X&id=5031
45,AMD Ryzen Threadripper PRO 3975WX,62848,2997.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851
46,AMD EPYC 7702P,62670,1898.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7702P&id=3555
47,AMD Ryzen 9 7950X3D,62636,661.08,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X3D&id=5234
48,Intel Xeon Platinum 8380 @ 2.30GHz,62318,8978.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8380+%40+2.30GHz&id=4483
49,Intel Core i9-13900KS,61957,999.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KS&id=5160
50,Intel Core i9-14900K,61186,589.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900K&id=5717
51,Intel Xeon w7-2495X,61178,2603.96,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w7-2495X&id=5326
52,Intel Core i9-14900KF,61108,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900KF&id=5684
53,AMD Ryzen Threadripper PRO 7955WX,61073,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7955WX&id=5730
54,AMD EPYC 74F3,60666,3047.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+74F3&id=4560
55,Intel Xeon Gold 6421N,60551,2368.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6421N&id=5669
56,Intel Xeon Gold 6448Y,60449,3583.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6448Y&id=5313
57,AMD EPYC 7543,60132,3761.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7543&id=4404
58,AMD EPYC 7513,59988,2840.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7513&id=4383
59,Intel Core i9-13900K,59568,569.97,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900K&id=5022
60,AMD EPYC 7473X,59280,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7473X&id=5013
61,Intel Xeon W-3375 @ 2.50GHz,59069,4499.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3375+%40+2.50GHz&id=4893
62,Intel Xeon W-3365 @ 2.70GHz,59038,3851.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3365+%40+2.70GHz&id=5193
63,Intel Core i9-13900KF,58872,546.49,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KF&id=5055
64,AMD EPYC 7642,58400,1185.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7642&id=4336
65,Intel Xeon Gold 5420+,57593,1848.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5420%2B&id=5307
66,AMD EPYC 7443P,57350,1683.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7443P&id=4391
67,Intel Xeon Gold 6414U,57200,2296.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6414U&id=5312
68,AMD Ryzen 9 7945HX,55876,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7945HX&id=5232
69,AMD EPYC 7B12,55859,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7B12&id=4398
70,Intel Xeon Platinum 8375C @ 2.90GHz,55705,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8375C+%40+2.90GHz&id=4486
71,AMD EPYC 7443,55525,2230.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7443&id=4708
72,AMD EPYC 9174F,55485,4654.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9174F&id=5381
