,Name,Note,Price ($),URL
46,AMD Ryzen Threadripper PRO 3975WX,62848,2997.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851
47,AMD EPYC 7702P,62670,1898.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7702P&id=3555
48,AMD Ryzen 9 7950X3D,62542,661.08,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X3D&id=5234
49,Intel Xeon Platinum 8380 @ 2.30GHz,62318,8978.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8380+%40+2.30GHz&id=4483
50,Intel Core i9-13900KS,61883,999.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KS&id=5160
51,Intel Core i9-14900K,61394,589.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900K&id=5717
52,Intel Xeon w7-2495X,61178,2603.96,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w7-2495X&id=5326
53,AMD Ryzen Threadripper PRO 7955WX,61073,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7955WX&id=5730
54,Intel Core i9-14900KF,61058,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900KF&id=5684
55,AMD EPYC 74F3,60666,3047.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+74F3&id=4560
56,Intel Xeon Gold 6421N,60551,2368.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6421N&id=5669
57,Intel Xeon Gold 6448Y,60449,3583.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6448Y&id=5313
58,AMD EPYC 7543,60132,3761.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7543&id=4404
59,AMD EPYC 7513,59988,2840.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7513&id=4383
60,Intel Core i9-13900K,59526,569.97,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900K&id=5022
61,AMD EPYC 7473X,59280,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7473X&id=5013
62,Intel Xeon W-3375 @ 2.50GHz,59069,4499.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3375+%40+2.50GHz&id=4893
63,Intel Xeon W-3365 @ 2.70GHz,59038,3851.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3365+%40+2.70GHz&id=5193
64,Intel Core i9-13900KF,58826,546.49,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KF&id=5055
65,AMD EPYC 7642,58177,1185.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7642&id=4336
66,Intel Xeon Gold 5420+,57593,1848.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5420%2B&id=5307
67,Intel Xeon Gold 6423N,57434,2161.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6423N&id=5778
68,AMD EPYC 7443P,57325,1683.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7443P&id=4391
69,Intel Xeon Gold 6414U,57200,2296.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6414U&id=5312
70,AMD Ryzen 9 7945HX,55873,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7945HX&id=5232
